date,kpi_total_index,kpi_energy_index,cpi_yoy,cpi_energy_yoy,wage_index,wage_yoy,infl_exp_households_1y,price_se3,price_se4,elec_price_avg,elec_price_index,elec_price_yoy,price_plans_total,wage_yoy_lag1,elec_price_yoy_lag1,price_plans_total_lag1,cpi_yoy_target_next
2011-01-01,91.14,90.9,2.46205733558178,7.168120726243821,176.3,2.202898550724641,,,,,,,9.0,2.326934264107039,,9.0,2.4583752374567114
2011-02-01,91.69,91.4,2.4583752374567114,6.775700934579443,176.7,2.316155182397228,,,,,,,9.0,2.202898550724641,,9.0,2.9208472686733438
2011-03-01,92.32,92.56,2.9208472686733438,9.125206319264343,176.8,2.2556390977443552,,,,,,,9.0,2.316155182397228,,9.0,3.332590280873826
2011-04-01,92.71,92.73,3.332590280873826,9.804618117229126,176.9,2.3134759976865205,,,,,,,9.0,2.2556390977443552,,9.0,3.337783711615483
2011-05-01,92.88,93.34,3.337783711615483,10.018859028760009,176.8,2.137492778740624,,,,,,,9.0,2.3134759976865205,,9.0,3.0812013348164635
2011-06-01,92.67,93.36,3.0812013348164635,9.526044110746136,177.8,2.5374855824682907,,,,,,,9.0,2.137492778740624,,9.0,3.347467083240341
2011-07-01,92.62,93.66,3.347467083240341,9.339248190520657,178.3,2.589182968929804,,,,,,,9.0,2.5374855824682907,,9.0,3.369407564431559
2011-08-01,92.65,94.01,3.369407564431559,9.607088725661672,178.7,2.642159678345779,,,,,,,9.0,2.589182968929804,,9.0,3.2308032750608677
2011-09-01,93.3,93.91,3.2308032750608677,8.62926547137073,179.0,2.5200458190149044,,,,,,,9.0,2.642159678345779,,9.0,2.900628653358317
2011-10-01,93.3,94.21,2.900628653358317,8.712208631433182,179.6,2.511415525114158,,,,,,,9.0,2.5200458190149044,,9.0,2.8031219083214154
2011-11-01,93.52,95.11,2.8031219083214154,8.759291023441973,180.0,2.622576966932733,,,,,,,9.0,2.511415525114158,,9.0,2.2814103263835817
2011-12-01,93.7,95.42,2.2814103263835817,7.17735594743345,180.3,2.5014212620807275,,,,,,,9.0,2.622576966932733,,9.0,1.8542901031380232
2012-01-01,92.83,95.7,1.8542901031380232,5.280528052805278,180.5,2.382302892796373,,,,,,,9.0,2.5014212620807275,,9.0,1.9195113970989164
2012-02-01,93.45,96.04,1.9195113970989164,5.076586433260388,181.5,2.716468590831922,,,,,,,9.0,2.382302892796373,,9.0,1.505632582322347
2012-03-01,93.71,95.13,1.505632582322347,2.7765773552290263,182.0,2.941176470588225,,,,,,,9.0,2.716468590831922,,9.0,1.305145076043579
2012-04-01,93.92,95.22,1.305145076043579,2.6852151407311453,182.7,3.2786885245901454,,,,,,,9.0,2.941176470588225,,9.0,1.033591731266159
2012-05-01,93.84,94.94,1.033591731266159,1.7141632740518498,182.9,3.450226244343879,,,,,,,9.0,3.2786885245901454,,9.0,1.0143520017265484
2012-06-01,93.61,94.94,1.0143520017265484,1.6923736075407092,183.3,3.093363329583809,,,,,,,9.0,3.450226244343879,,9.0,0.6694018570503113
2012-07-01,93.24,94.48,0.6694018570503113,0.8755071535340608,183.7,3.028603477285463,,,,,,,9.0,3.093363329583809,,9.0,0.744738262277389
2012-08-01,93.34,94.78,0.744738262277389,0.8190618019359608,184.0,2.965864577504207,,,,,,,9.0,3.028603477285463,,9.0,0.4501607717041889
2012-09-01,93.72,94.02,0.4501607717041889,0.1171334256202749,184.5,3.0726256983240274,,,,,,,9.0,2.965864577504207,,9.0,0.37513397642015
2012-10-01,93.65,93.58,0.37513397642015,-0.6687188196582095,184.8,2.895322939866385,,,,,,,9.0,3.0726256983240274,,9.0,-0.1069289991445621
2012-11-01,93.42,93.49,-0.1069289991445621,-1.703290926295875,185.1,2.833333333333332,,,,,,,9.0,2.895322939866385,,9.0,-0.0426894343650063
2012-12-01,93.66,93.86,-0.0426894343650063,-1.6348773841961872,186.1,3.216860787576259,,,,,,,9.0,2.833333333333332,,9.0,0.0538618980932881
2013-01-01,92.88,94.52,0.0538618980932881,-1.233019853709516,185.4,2.714681440443223,,,,,,,9.0,3.216860787576259,,9.0,-0.1712145532370201
2013-02-01,93.29,94.23,-0.1712145532370201,-1.884631403581838,186.0,2.4793388429751984,,,,,,,9.0,2.714681440443223,,9.0,-0.0426848788816491
2013-03-01,93.67,94.24,-0.0426848788816491,-0.9355618627141848,186.7,2.582417582417573,,,,,,,9.0,2.4793388429751984,,9.0,-0.4684838160136206
