deliver_date_cet,se3_sek,se4_sek
2024-10-11,73.64,73.64
2024-10-12,111.35,111.35
2024-10-13,138.18,138.18
2024-10-14,437.75,1115.63
2024-10-15,496.11,666.41
2024-10-16,148.04,151.25
2024-10-17,22.37,22.37
2024-10-18,112.41,112.41
2024-10-19,54.82,54.82
2024-10-20,11.75,11.75
2024-10-21,-11.29,-11.29
2024-10-22,36.27,36.27
2024-10-23,5.77,5.77
2024-10-24,284.11,409.21
2024-10-25,224.97,224.97
2024-10-26,500.19,558.65
2024-10-27,-4.41,-4.41
2024-10-28,107.37,186.17
2024-10-29,483.78,1499.78
2024-10-30,91.82,129.43
2024-10-31,131.18,192.8
2024-11-01,32.47,35.61
2024-11-02,95.8,128.0
2024-11-03,56.77,60.69
2024-11-04,1006.88,1190.46
2024-11-05,900.74,1166.12
2024-11-06,900.65,1581.19
2024-11-07,768.46,1418.94
2024-11-08,398.68,918.85
2024-11-09,756.97,1113.78
2024-11-10,939.0,1196.19
2024-11-11,1091.38,1376.89
2024-11-12,1345.99,1916.97
2024-11-13,666.51,1224.16
2024-11-14,402.18,531.84
2024-11-15,195.02,259.68
2024-11-16,16.96,24.78
2024-11-17,184.47,191.38
2024-11-18,924.58,977.34
2024-11-19,1395.46,1387.21
2024-11-20,917.58,1054.55
2024-11-21,1087.83,1248.94
2024-11-22,1313.43,1365.44
2024-11-23,631.3,698.65
2024-11-24,51.56,53.93
2024-11-25,146.37,184.6
2024-11-26,276.37,305.79
2024-11-27,1090.36,1153.02
2024-11-28,1108.19,1066.03
2024-11-29,1078.82,1221.14
2024-11-30,304.84,341.66
2024-12-01,223.31,298.9
2024-12-02,258.6,381.0
2024-12-03,1065.12,1032.55
2024-12-04,1656.77,1755.34
2024-12-05,693.42,812.4
2024-12-06,455.45,623.31
2024-12-07,520.97,595.14
2024-12-08,627.69,625.86
2024-12-09,770.89,796.39
2024-12-10,967.11,1626.71
2024-12-11,2277.92,2627.87
2024-12-12,2442.12,3574.59
2024-12-13,1260.57,1476.59
2024-12-14,231.74,292.2
2024-12-15,273.46,257.69
2024-12-16,270.01,240.13
2024-12-17,735.65,629.59
2024-12-18,385.02,345.9
2024-12-19,230.3,231.7
2024-12-20,323.99,323.71
2024-12-21,229.45,232.78
2024-12-22,250.83,248.64
2024-12-23,631.19,622.13
2024-12-24,357.02,369.29
2024-12-25,106.49,134.04
2024-12-26,91.89,157.23
2024-12-27,214.95,392.34
2024-12-28,164.41,265.73
2024-12-29,11.27,9.89
2024-12-30,143.95,251.07
2024-12-31,186.16,266.31
2025-01-01,75.36,72.63
2025-01-02,925.02,923.37
2025-01-03,744.64,741.66
2025-01-04,1054.78,1042.57
2025-01-05,736.73,726.36
2025-01-06,282.61,287.7
2025-01-07,243.17,264.21
2025-01-08,776.8,797.45
2025-01-09,1180.18,1172.25
2025-01-10,1049.12,1045.32
2025-01-11,414.88,410.44
2025-01-12,810.91,839.67
2025-01-13,279.97,414.18
2025-01-14,164.3,258.16
2025-01-15,723.08,1393.67
2025-01-16,202.44,382.45
2025-01-17,155.34,269.48
2025-01-18,212.76,378.09
2025-01-19,349.5,643.65
2025-01-20,1804.64,2057.1
2025-01-21,980.53,1758.77
2025-01-22,1403.65,1523.14
2025-01-23,845.47,856.16
2025-01-24,345.91,368.33
2025-01-25,101.72,176.45
2025-01-26,255.7,343.59
2025-01-27,444.93,438.45
2025-01-28,811.14,913.75
2025-01-29,799.53,996.47
2025-01-30,610.21,932.26
2025-01-31,882.71,1165.66
2025-02-01,634.96,1137.63
2025-02-02,692.49,1209.44
2025-02-03,1353.53,1490.94
2025-02-04,811.57,1104.6
2025-02-05,307.94,520.72
2025-02-06,921.71,1217.24
2025-02-07,554.7,1016.52
2025-02-08,558.66,699.71
2025-02-09,525.73,956.94
2025-02-10,765.12,877.43
2025-02-11,608.39,760.39
2025-02-12,1110.58,1435.98
2025-02-13,1214.65,1621.73
2025-02-14,1816.15,1906.86
2025-02-15,999.21,1425.04
2025-02-16,1368.54,1424.25
2025-02-17,1583.24,1691.48
2025-02-18,834.41,1437.17
2025-02-19,965.2,1230.83
2025-02-20,484.61,767.34
2025-02-21,372.13,718.73
2025-02-22,283.59,486.54
2025-02-23,364.48,623.97
2025-02-24,223.8,376.23
2025-02-25,328.28,551.94
2025-02-26,529.57,684.45
2025-02-27,626.3,883.85
2025-02-28,734.08,826.02
2025-03-01,393.04,443.05
2025-03-02,31.8,38.38
2025-03-03,81.41,116.49
2025-03-04,69.14,78.48
2025-03-05,37.51,55.52
2025-03-06,199.05,268.28
2025-03-07,282.28,371.0
2025-03-08,161.59,296.4
2025-03-09,395.09,452.44
2025-03-10,944.46,976.74
2025-03-11,1138.95,1174.17
2025-03-12,1351.75,1357.33
2025-03-13,1431.78,1366.98
2025-03-14,1187.83,1291.29
2025-03-15,244.26,386.49
2025-03-16,207.42,289.08
2025-03-17,824.24,895.4
2025-03-18,417.44,703.64
2025-03-19,532.82,898.84
2025-03-20,920.83,1025.61
2025-03-21,741.22,770.28
2025-03-22,62.28,91.19
2025-03-23,102.96,130.29
2025-03-24,780.14,1071.88
2025-03-25,623.17,775.44
2025-03-26,923.77,1116.22
2025-03-27,270.76,417.24
2025-03-28,184.81,281.21
2025-03-29,157.57,280.83
2025-03-30,167.05,193.94
2025-03-31,870.91,1111.73
2025-04-01,456.44,912.34
2025-04-02,297.03,630.69
2025-04-03,267.63,603.14
2025-04-04,252.42,576.34
2025-04-05,226.26,278.36
2025-04-06,363.74,480.75
2025-04-07,864.08,962.42
2025-04-08,547.82,737.96
2025-04-09,248.87,466.6
2025-04-10,440.61,504.36
2025-04-11,281.26,318.85
2025-04-12,192.53,348.55
2025-04-13,148.49,271.35
2025-04-14,307.21,539.54
2025-04-15,285.56,421.13
2025-04-16,285.02,529.43
2025-04-17,372.13,562.67
2025-04-18,299.37,526.95
2025-04-19,235.82,406.08
2025-04-20,223.53,309.03
2025-04-21,317.0,525.39
2025-04-22,1078.93,1102.84
2025-04-23,597.86,1104.9
2025-04-24,738.34,974.37
2025-04-25,437.5,806.1
2025-04-26,294.56,453.11
2025-04-27,223.16,426.08
2025-04-28,252.74,459.5
2025-04-29,360.16,590.04
2025-04-30,386.1,674.73
2025-05-01,275.02,503.45
2025-05-02,221.39,420.86
2025-05-03,230.09,461.95
2025-05-04,163.11,311.29
2025-05-05,481.52,676.48
2025-05-06,602.03,819.08
2025-05-07,934.76,1057.39
2025-05-08,1123.75,1133.17
2025-05-09,952.53,1000.07
2025-05-10,736.91,728.52
2025-05-11,638.9,635.17
2025-05-12,918.94,927.05
2025-05-13,774.5,870.38
2025-05-14,560.54,668.19
2025-05-15,510.57,547.14
2025-05-16,258.57,339.47
2025-05-17,214.36,348.52
2025-05-18,158.7,260.82
2025-05-19,380.02,634.92
2025-05-20,322.43,566.48
2025-05-21,293.28,461.79
2025-05-22,196.64,334.45
2025-05-23,422.62,781.26
2025-05-24,288.98,583.15
2025-05-25,102.89,180.31
2025-05-26,253.73,668.12
2025-05-27,260.55,505.4
2025-05-28,377.29,892.54
2025-05-29,258.05,586.73
2025-05-30,170.34,250.82
2025-05-31,229.52,448.64
2025-06-01,178.4,353.9
2025-06-02,298.09,560.41
2025-06-03,301.71,567.66
2025-06-04,260.97,504.32
2025-06-05,348.0,697.22
