date,wage_index,wage_yoy
2022-09-01,236.0,2.8322440087146017
2022-10-01,236.8,3.001304915180514
2022-11-01,237.4,2.948829141370335
2022-12-01,238.0,3.1642826181187633
2023-01-01,238.4,2.8029322984044924
2023-02-01,239.4,2.9677419354838808
2023-03-01,240.0,3.0042918454935563
2023-04-01,241.8,3.510273972602751
2023-05-01,243.3,3.9299444681760054
2023-06-01,243.6,3.8363171355498826
2023-07-01,244.4,3.9557635048915296
2023-08-01,245.1,4.0322580645161255
2023-09-01,245.8,4.152542372881363
2023-10-01,246.7,4.180743243243223
2023-11-01,247.4,4.212299915754003
2023-12-01,248.1,4.243697478991604
2024-01-01,248.7,4.3204697986577
2024-02-01,249.5,4.218880534670011
2024-03-01,250.8,4.500000000000015
2024-04-01,252.3,4.3424317617865915
2024-05-01,252.5,3.781339909576653
2024-06-01,253.5,4.064039408866993
2024-07-01,254.3,4.0507364975450155
2024-08-01,254.9,3.9983680130559085
2024-09-01,255.7,4.027664768104144
2024-10-01,256.2,3.8508309687879994
2024-11-01,257.1,3.920776071139853
2024-12-01,258.1,4.030632809351076
2025-01-01,259.0,4.141535987133094
2025-02-01,259.4,3.9679358717434887
2025-03-01,259.7,3.548644338118012
2025-04-01,260.7,3.3293697978596715
2025-05-01,262.4,3.920792079207902
2025-06-01,262.4,3.510848126232724
2025-07-01,263.2,3.499803381832467
2025-08-01,264.0,3.570027461749703
2025-09-01,264.8,3.558858036761836
