date,kpi_total_index,kpi_energy_index,cpi_yoy,cpi_energy_yoy
1995-04-01,75.98,71.79,2.8702951529921528,3.1169204251651816
1995-05-01,76.06,71.81,2.7560118886787333,2.9091430209229108
1995-06-01,75.98,71.82,2.6202052944354293,2.849778032364303
1995-07-01,75.9,71.83,2.4844720496894457,2.6142857142857023
1995-08-01,75.81,71.57,2.349129202106126,2.111570837494625
1995-09-01,76.32,71.45,2.1003344481605346,1.7226651480637845
1995-10-01,76.48,71.73,2.218658112804084,1.9036794999289786
1995-11-01,76.46,71.67,2.2602648120904067,1.8039772727272751
1995-12-01,76.21,71.53,2.103429796355827,1.7496443812233364
1996-01-01,76.1,73.8,1.5750133475707306,3.6080303243015477
1996-02-01,76.19,73.76,1.3299640909695487,3.65373805508713
1996-03-01,76.54,73.64,1.4043455219925782,3.3834058683139157
1996-04-01,76.75,73.59,1.0134245854171997,2.5073129962390306
1996-05-01,76.67,73.22,0.801998422298178,1.9635148308035033
1996-06-01,76.39,73.03,0.5396156883390235,1.6847674742411778
1996-07-01,76.22,72.83,0.4216073781291074,1.3921759710427306
1996-08-01,75.87,72.54,0.0791452314998109,1.3553164733827172
1996-09-01,76.3,72.73,-0.02620545073375169,1.7914625612316382
1996-10-01,76.34,72.77,-0.18305439330543738,1.4498815000697052
1996-11-01,76.19,72.55,-0.353125817420874,1.2278498674480165
1996-12-01,76.07,72.34,-0.18370292612518435,1.1323920033552426
1997-01-01,76.06,72.78,-0.05256241787121585,-1.382113821138209
1997-02-01,76.02,72.6,-0.22312639453996308,-1.5726681127982811
1997-03-01,76.33,72.45,-0.2743663443950939,-1.6159695817490438
1997-04-01,76.72,72.61,-0.03908794788273218,-1.331702676994162
1997-05-01,76.72,72.4,0.0652145558888817,-1.1199125921879216
1997-06-01,76.82,72.64,0.5629009032595889,-0.5340271121456963
1997-07-01,76.68,72.8,0.6035161374967402,-0.0411918165591163
1997-08-01,76.73,72.71,1.1335178594965134,0.23435346015989733
1997-09-01,77.44,72.56,1.4941022280471783,-0.23374123470369934
1997-10-01,77.49,72.41,1.506418653392716,-0.4947093582520212
1997-11-01,77.36,72.31,1.53563459771624,-0.3308063404548478
1997-12-01,77.32,72.27,1.6432233469173108,-0.09676527508986066
1998-01-01,76.59,71.87,0.6968183013410512,-1.2503435009617925
1998-02-01,76.48,71.68,0.6051039200210662,-1.2672176308539784
1998-03-01,76.6,71.51,0.35372723699724773,-1.297446514837819
1998-04-01,76.82,71.48,0.13034410844630084,-1.5562594683927733
1998-05-01,76.95,71.42,0.2997914494264897,-1.3535911602210016
1998-06-01,76.79,71.34,-0.03905233012234666,-1.7896475770925124
1998-07-01,76.62,71.24,-0.07824726134585402,-2.1428571428571463
1998-08-01,76.23,71.02,-0.6516356053694827,-2.3243020217301624
1998-09-01,76.54,70.93,-1.1621900826446208,-2.246416758544645
1998-10-01,76.7,70.84,-1.0194863853400293,-2.1682088109377107
1998-11-01,76.51,70.62,-1.0987590486039256,-2.3371594523578954
1998-12-01,76.38,70.37,-1.2157268494567997,-2.629030026290291
1999-01-01,76.41,70.4,-0.2350176263219872,-2.0453596771949356
1999-02-01,76.41,70.33,-0.09152719665272979,-1.8833705357143016
1999-03-01,76.7,70.13,0.13054830287206887,-1.9298000279681315
1999-04-01,76.87,70.0,0.06508721687061847,-2.0705092333519914
1999-05-01,77.01,69.94,0.0779727095516547,-2.072248669840382
1999-06-01,77.13,69.93,0.442765985154292,-1.9764507989907476
1999-07-01,76.79,69.93,0.22187418428609718,-1.8388545760808395
1999-08-01,76.79,69.9,0.7346189164370909,-1.5770205575893925
1999-09-01,77.33,69.91,1.0321400574862638,-1.4380375017623126
1999-10-01,77.42,69.87,0.9387222946545037,-1.3692828910220167
1999-11-01,77.21,69.83,0.9149130832570851,-1.1186632681959852
1999-12-01,77.39,69.93,1.322335689971199,-0.6252664487707782
2000-01-01,76.75,70.07,0.44496793613402197,-0.46875000000001776
2000-02-01,77.12,70.29,0.9291977489857439,-0.05687473339968108
2000-03-01,77.49,70.43,1.0299869621903435,0.4277769855981939
2000-04-01,77.42,70.35,0.7154936906465403,0.49999999999998934
2000-05-01,77.79,70.29,1.0128554733151551,0.500428939090658
2000-06-01,77.77,70.37,0.8297679242836864,0.6292006292006214
2000-07-01,77.4,70.44,0.7943742674827448,0.7293007293007081
2000-08-01,77.45,70.54,0.8594869123583759,0.9155937052932828
2000-09-01,78.01,70.72,0.8793482477693182,1.1586325275354081
2000-10-01,78.17,70.87,0.9687419271506181,1.4312294260770075
2000-11-01,78.22,71.01,1.308120709752636,1.6898181297436699
2000-12-01,78.14,71.15,0.9691174570357841,1.744601744601737
2001-01-01,77.91,72.46,1.5114006514657996,3.410874839446265
2001-02-01,78.19,72.69,1.387448132780067,3.414425949637212
2001-03-01,78.77,72.78,1.6518260420699482,3.3366463154905546
2001-04-01,79.46,73.27,2.634978041849645,4.150675195451314
2001-05-01,80.0,73.4,2.840982131379355,4.424526959738229
2001-06-01,79.88,73.64,2.713128455702707,4.646866562455587
